mode,N,threads,trial,time_sec,correct
sequential,256,1,1,0.014167,true
sequential,256,1,2,0.014201,true
sequential,256,1,3,0.014414,true
static,256,1,1,0.015438,true
static,256,1,2,0.015599,true
static,256,1,3,0.015942,true
static,256,2,1,0.007972,true
static,256,2,2,0.008789,true
static,256,2,3,0.007693,true
static,256,4,1,0.004513,true
static,256,4,2,0.004861,true
static,256,4,3,0.004543,true
static,256,8,1,0.004097,true
static,256,8,2,0.004231,true
static,256,8,3,0.004463,true
dynamic,256,1,1,0.014803,true
dynamic,256,1,2,0.015127,true
dynamic,256,1,3,0.015057,true
optimized,256,1,1,0.019013,true
optimized,256,1,2,0.020281,true
optimized,256,1,3,0.019104,true
optimized,256,2,1,0.009685,true
optimized,256,2,2,0.010327,true
optimized,256,2,3,0.009547,true
optimized,256,4,1,0.006261,true
optimized,256,4,2,0.006776,true
optimized,256,4,3,0.005452,true
optimized,256,8,1,0.003862,true
optimized,256,8,2,0.005311,true
optimized,256,8,3,0.005085,true
sequential,512,1,1,0.117778,true
sequential,512,1,2,0.120599,true
sequential,512,1,3,0.117299,true
static,512,1,1,0.120903,true
static,512,1,2,0.122949,true
static,512,1,3,0.123437,true
static,512,2,1,0.063128,true
static,512,2,2,0.061553,true
static,512,2,3,0.062032,true
static,512,4,1,0.043813,true
static,512,4,2,0.032776,true
static,512,4,3,0.033345,true
static,512,8,1,0.022050,true
static,512,8,2,0.023592,true
static,512,8,3,0.025460,true
dynamic,512,2,1,0.059777,true
dynamic,512,2,2,0.062061,true
dynamic,512,2,3,0.059981,true
optimized,512,1,1,0.147726,true
optimized,512,1,2,0.150687,true
optimized,512,1,3,0.149502,true
optimized,512,2,1,0.075890,true
optimized,512,2,2,0.076183,true
optimized,512,2,3,0.077324,true
optimized,512,4,1,0.039324,true
optimized,512,4,2,0.040378,true
optimized,512,4,3,0.040689,true
optimized,512,8,1,0.025130,true
optimized,512,8,2,0.024243,true
optimized,512,8,3,0.026129,true
sequential,1024,1,1,1.039937,true
sequential,1024,1,2,1.009644,true
sequential,1024,1,3,0.973885,true
static,1024,1,1,1.014383,true
static,1024,1,2,0.997921,true
static,1024,1,3,0.999691,true
static,1024,2,1,0.553905,true
static,1024,2,2,0.515352,true
static,1024,2,3,0.538823,true
static,1024,4,1,0.266859,true
static,1024,4,2,0.282470,true
static,1024,4,3,0.267131,true
static,1024,8,1,0.197934,true
static,1024,8,2,0.171474,true
static,1024,8,3,0.163508,true
dynamic,1024,4,1,0.261692,true
dynamic,1024,4,2,0.265192,true
dynamic,1024,4,3,0.273801,true
optimized,1024,1,1,1.305302,true
optimized,1024,1,2,1.279871,true
optimized,1024,1,3,1.286208,true
optimized,1024,2,1,0.622068,true
optimized,1024,2,2,0.623270,true
optimized,1024,2,3,0.648620,true
optimized,1024,4,1,0.319033,true
optimized,1024,4,2,0.321858,true
optimized,1024,4,3,0.318392,true
optimized,1024,8,1,0.191656,true
optimized,1024,8,2,0.187176,true
optimized,1024,8,3,0.191998,true
