mode,N,threads,trial,time_sec,correct
sequential,1536,1,1,6.157,true
sequential,1536,1,2,5.417,true
sequential,1536,1,3,5.899,true
static,1536,1,1,5.562,skipped
static,1536,1,2,5.005,skipped
static,1536,1,3,5.551,skipped
static,1536,2,1,2.445,skipped
static,1536,2,2,2.536,skipped
static,1536,2,3,2.507,skipped
static,1536,4,1,1.220,skipped
static,1536,4,2,1.199,skipped
static,1536,4,3,1.209,skipped
static,1536,8,1,0.650,skipped
static,1536,8,2,0.648,skipped
static,1536,8,3,0.692,skipped
dynamic,1536,8,1,0.671,skipped
dynamic,1536,8,2,0.643,skipped
dynamic,1536,8,3,0.643,skipped
optimized,1536,1,1,5.407,skipped
optimized,1536,1,2,5.485,skipped
optimized,1536,1,3,5.497,skipped
optimized,1536,2,1,2.446,skipped
optimized,1536,2,2,2.601,skipped
optimized,1536,2,3,2.620,skipped
optimized,1536,4,1,1.271,skipped
optimized,1536,4,2,1.309,skipped
optimized,1536,4,3,1.155,skipped
optimized,1536,8,1,0.701,skipped
optimized,1536,8,2,0.681,skipped
optimized,1536,8,3,0.692,skipped
sequential,2048,1,1,14.394,true
sequential,2048,1,2,14.072,true
sequential,2048,1,3,13.910,true
static,2048,1,1,13.811,skipped
static,2048,1,2,13.878,skipped
static,2048,1,3,14.437,skipped
static,2048,2,1,6.685,skipped
static,2048,2,2,6.225,skipped
static,2048,2,3,6.157,skipped
static,2048,4,1,3.009,skipped
static,2048,4,2,2.982,skipped
static,2048,4,3,2.968,skipped
static,2048,8,1,1.632,skipped
static,2048,8,2,1.781,skipped
static,2048,8,3,1.600,skipped
dynamic,2048,8,1,1.616,skipped
dynamic,2048,8,2,1.623,skipped
dynamic,2048,8,3,1.602,skipped
optimized,2048,1,1,11.582,skipped
optimized,2048,1,2,11.446,skipped
optimized,2048,1,3,12.302,skipped
optimized,2048,2,1,5.607,skipped
optimized,2048,2,2,5.647,skipped
optimized,2048,2,3,5.656,skipped
optimized,2048,4,1,3.072,skipped
optimized,2048,4,2,3.112,skipped
optimized,2048,4,3,3.115,skipped
optimized,2048,8,1,1.793,skipped
optimized,2048,8,2,1.670,skipped
optimized,2048,8,3,1.681,skipped
