mode,N,threads,trial,time_sec,correct
sequential,256,1,1,0.015,true
sequential,256,1,2,0.017,true
sequential,256,1,3,0.015,true
static,256,1,1,0.016,true
static,256,1,2,0.015,true
static,256,1,3,0.016,true
static,256,2,1,0.010,true
static,256,2,2,0.009,true
static,256,2,3,0.009,true
static,256,4,1,0.006,true
static,256,4,2,0.005,true
static,256,4,3,0.005,true
static,256,8,1,0.004,true
static,256,8,2,0.004,true
static,256,8,3,0.004,true
dynamic,256,4,1,0.005,true
dynamic,256,4,2,0.005,true
dynamic,256,4,3,0.005,true
optimized,256,1,1,0.018,true
optimized,256,1,2,0.021,true
optimized,256,1,3,0.018,true
optimized,256,2,1,0.011,true
optimized,256,2,2,0.010,true
optimized,256,2,3,0.010,true
optimized,256,4,1,0.006,true
optimized,256,4,2,0.006,true
optimized,256,4,3,0.005,true
optimized,256,8,1,0.004,true
optimized,256,8,2,0.005,true
optimized,256,8,3,0.006,true
sequential,512,1,1,0.118,true
sequential,512,1,2,0.118,true
sequential,512,1,3,0.119,true
static,512,1,1,0.121,true
static,512,1,2,0.123,true
static,512,1,3,0.122,true
static,512,2,1,0.061,true
static,512,2,2,0.059,true
static,512,2,3,0.059,true
static,512,4,1,0.032,true
static,512,4,2,0.032,true
static,512,4,3,0.031,true
static,512,8,1,0.023,true
static,512,8,2,0.023,true
static,512,8,3,0.025,true
dynamic,512,8,1,0.025,true
dynamic,512,8,2,0.023,true
dynamic,512,8,3,0.023,true
optimized,512,1,1,0.152,true
optimized,512,1,2,0.156,true
optimized,512,1,3,0.147,true
optimized,512,2,1,0.076,true
optimized,512,2,2,0.076,true
optimized,512,2,3,0.090,true
optimized,512,4,1,0.039,true
optimized,512,4,2,0.039,true
optimized,512,4,3,0.039,true
optimized,512,8,1,0.027,true
optimized,512,8,2,0.027,true
optimized,512,8,3,0.026,true
sequential,1024,1,1,0.991,true
sequential,1024,1,2,1.014,true
sequential,1024,1,3,0.965,true
static,1024,1,1,1.068,true
static,1024,1,2,0.997,true
static,1024,1,3,1.015,true
static,1024,2,1,0.573,true
static,1024,2,2,0.501,true
static,1024,2,3,0.520,true
static,1024,4,1,0.304,true
static,1024,4,2,0.289,true
static,1024,4,3,0.268,true
static,1024,8,1,0.184,true
static,1024,8,2,0.169,true
static,1024,8,3,0.177,true
dynamic,1024,8,1,0.178,true
dynamic,1024,8,2,0.167,true
dynamic,1024,8,3,0.176,true
optimized,1024,1,1,1.257,true
optimized,1024,1,2,1.211,true
optimized,1024,1,3,1.251,true
optimized,1024,2,1,0.637,true
optimized,1024,2,2,0.614,true
optimized,1024,2,3,0.662,true
optimized,1024,4,1,0.328,true
optimized,1024,4,2,0.335,true
optimized,1024,4,3,0.339,true
optimized,1024,8,1,0.181,true
optimized,1024,8,2,0.183,true
optimized,1024,8,3,0.184,true
