mode,search,N,threads,block_size,trial,time_sec,correct
static,linear_threads,256,1,0,1,0.027000,true
static,linear_threads,256,1,0,2,0.021000,true
static,linear_threads,256,1,0,3,0.030000,true
static,linear_threads,256,2,0,1,0.016000,true
static,linear_threads,256,2,0,2,0.019000,true
static,linear_threads,256,2,0,3,0.015000,true
static,linear_threads,256,4,0,1,0.009000,true
static,linear_threads,256,4,0,2,0.010000,true
static,linear_threads,256,4,0,3,0.011000,true
static,linear_threads,256,8,0,1,0.009000,true
static,linear_threads,256,8,0,2,0.009000,true
static,linear_threads,256,8,0,3,0.008000,true
static,linear_threads,256,16,0,1,0.008000,true
static,linear_threads,256,16,0,2,0.010000,true
static,linear_threads,256,16,0,3,0.007000,true
optimized,linear_threads,256,1,32,1,0.025000,true
optimized,linear_threads,256,1,32,2,0.025000,true
optimized,linear_threads,256,1,32,3,0.030000,true
optimized,linear_threads,256,2,32,1,0.020000,true
optimized,linear_threads,256,2,32,2,0.018000,true
optimized,linear_threads,256,2,32,3,0.023000,true
optimized,linear_threads,256,4,32,1,0.011000,true
optimized,linear_threads,256,4,32,2,0.012000,true
optimized,linear_threads,256,4,32,3,0.011000,true
optimized,linear_threads,256,8,32,1,0.007000,true
optimized,linear_threads,256,8,32,2,0.009000,true
optimized,linear_threads,256,8,32,3,0.009000,true
optimized,linear_threads,256,16,32,1,0.011000,true
optimized,linear_threads,256,16,32,2,0.010000,true
optimized,linear_threads,256,16,32,3,0.007000,true
static,binary_threads,256,2,0,1,0.016000,true
static,binary_threads,256,2,0,2,0.011000,true
static,binary_threads,256,2,0,3,0.011000,true
static,binary_threads,256,4,0,1,0.011000,true
static,binary_threads,256,4,0,2,0.011000,true
static,binary_threads,256,4,0,3,0.015000,true
static,binary_threads,256,8,0,1,0.017000,true
static,binary_threads,256,8,0,2,0.006000,true
static,binary_threads,256,8,0,3,0.007000,true
static,binary_threads,256,16,0,1,0.006000,true
static,binary_threads,256,16,0,2,0.005000,true
static,binary_threads,256,16,0,3,0.007000,true
optimized,hillclimb_block,256,8,16,1,0.006000,true
optimized,hillclimb_block,256,8,16,2,0.011000,true
optimized,hillclimb_block,256,8,16,3,0.011000,true
optimized,hillclimb_block,256,8,32,1,0.007000,true
optimized,hillclimb_block,256,8,32,2,0.008000,true
optimized,hillclimb_block,256,8,32,3,0.006000,true
optimized,hillclimb_block,256,8,64,1,0.007000,true
optimized,hillclimb_block,256,8,64,2,0.009000,true
optimized,hillclimb_block,256,8,64,3,0.009000,true
static,linear_threads,512,1,0,1,0.164000,true
static,linear_threads,512,1,0,2,0.164000,true
static,linear_threads,512,1,0,3,0.164000,true
static,linear_threads,512,2,0,1,0.080000,true
static,linear_threads,512,2,0,2,0.082000,true
static,linear_threads,512,2,0,3,0.089000,true
static,linear_threads,512,4,0,1,0.041000,true
static,linear_threads,512,4,0,2,0.045000,true
static,linear_threads,512,4,0,3,0.045000,true
static,linear_threads,512,8,0,1,0.039000,true
static,linear_threads,512,8,0,2,0.031000,true
static,linear_threads,512,8,0,3,0.037000,true
static,linear_threads,512,16,0,1,0.022000,true
static,linear_threads,512,16,0,2,0.027000,true
static,linear_threads,512,16,0,3,0.033000,true
optimized,linear_threads,512,1,32,1,0.212000,true
optimized,linear_threads,512,1,32,2,0.199000,true
optimized,linear_threads,512,1,32,3,0.204000,true
optimized,linear_threads,512,2,32,1,0.098000,true
optimized,linear_threads,512,2,32,2,0.106000,true
optimized,linear_threads,512,2,32,3,0.106000,true
optimized,linear_threads,512,4,32,1,0.059000,true
optimized,linear_threads,512,4,32,2,0.058000,true
optimized,linear_threads,512,4,32,3,0.054000,true
optimized,linear_threads,512,8,32,1,0.044000,true
optimized,linear_threads,512,8,32,2,0.040000,true
optimized,linear_threads,512,8,32,3,0.041000,true
optimized,linear_threads,512,16,32,1,0.030000,true
optimized,linear_threads,512,16,32,2,0.033000,true
optimized,linear_threads,512,16,32,3,0.041000,true
static,binary_threads,512,2,0,1,0.090000,true
static,binary_threads,512,2,0,2,0.086000,true
static,binary_threads,512,2,0,3,0.086000,true
static,binary_threads,512,4,0,1,0.047000,true
static,binary_threads,512,4,0,2,0.058000,true
static,binary_threads,512,4,0,3,0.054000,true
static,binary_threads,512,8,0,1,0.039000,true
static,binary_threads,512,8,0,2,0.025000,true
static,binary_threads,512,8,0,3,0.039000,true
static,binary_threads,512,16,0,1,0.024000,true
static,binary_threads,512,16,0,2,0.024000,true
static,binary_threads,512,16,0,3,0.029000,true
optimized,hillclimb_block,512,16,16,1,0.033000,true
optimized,hillclimb_block,512,16,16,2,0.041000,true
optimized,hillclimb_block,512,16,16,3,0.038000,true
optimized,hillclimb_block,512,16,32,1,0.030000,true
optimized,hillclimb_block,512,16,32,2,0.028000,true
optimized,hillclimb_block,512,16,32,3,0.034000,true
optimized,hillclimb_block,512,16,64,1,0.033000,true
optimized,hillclimb_block,512,16,64,2,0.035000,true
optimized,hillclimb_block,512,16,64,3,0.031000,true
static,linear_threads,1024,1,0,1,1.272000,true
static,linear_threads,1024,1,0,2,1.268000,true
static,linear_threads,1024,1,0,3,1.342000,true
static,linear_threads,1024,2,0,1,0.661000,true
static,linear_threads,1024,2,0,2,0.584000,true
static,linear_threads,1024,2,0,3,0.658000,true
static,linear_threads,1024,4,0,1,0.307000,true
static,linear_threads,1024,4,0,2,0.280000,true
static,linear_threads,1024,4,0,3,0.291000,true
static,linear_threads,1024,8,0,1,0.192000,true
static,linear_threads,1024,8,0,2,0.202000,true
static,linear_threads,1024,8,0,3,0.189000,true
static,linear_threads,1024,16,0,1,0.161000,true
static,linear_threads,1024,16,0,2,0.148000,true
static,linear_threads,1024,16,0,3,0.159000,true
optimized,linear_threads,1024,1,32,1,1.684000,true
optimized,linear_threads,1024,1,32,2,1.741000,true
optimized,linear_threads,1024,1,32,3,1.745000,true
optimized,linear_threads,1024,2,32,1,0.820000,true
optimized,linear_threads,1024,2,32,2,0.796000,true
optimized,linear_threads,1024,2,32,3,0.779000,true
optimized,linear_threads,1024,4,32,1,0.379000,true
optimized,linear_threads,1024,4,32,2,0.396000,true
optimized,linear_threads,1024,4,32,3,0.380000,true
optimized,linear_threads,1024,8,32,1,0.207000,true
optimized,linear_threads,1024,8,32,2,0.224000,true
optimized,linear_threads,1024,8,32,3,0.209000,true
optimized,linear_threads,1024,16,32,1,0.173000,true
optimized,linear_threads,1024,16,32,2,0.166000,true
optimized,linear_threads,1024,16,32,3,0.172000,true
static,binary_threads,1024,2,0,1,0.669000,true
static,binary_threads,1024,2,0,2,0.640000,true
static,binary_threads,1024,2,0,3,0.646000,true
static,binary_threads,1024,4,0,1,0.302000,true
static,binary_threads,1024,4,0,2,0.280000,true
static,binary_threads,1024,4,0,3,0.310000,true
static,binary_threads,1024,8,0,1,0.208000,true
static,binary_threads,1024,8,0,2,0.191000,true
static,binary_threads,1024,8,0,3,0.190000,true
static,binary_threads,1024,16,0,1,0.152000,true
static,binary_threads,1024,16,0,2,0.172000,true
static,binary_threads,1024,16,0,3,0.154000,true
optimized,hillclimb_block,1024,16,16,1,0.198000,true
optimized,hillclimb_block,1024,16,16,2,0.180000,true
optimized,hillclimb_block,1024,16,16,3,0.209000,true
optimized,hillclimb_block,1024,16,32,1,0.181000,true
optimized,hillclimb_block,1024,16,32,2,0.171000,true
optimized,hillclimb_block,1024,16,32,3,0.192000,true
optimized,hillclimb_block,1024,16,64,1,0.160000,true
optimized,hillclimb_block,1024,16,64,2,0.159000,true
optimized,hillclimb_block,1024,16,64,3,0.160000,true
optimized,hillclimb_block,1024,16,128,1,0.154000,true
optimized,hillclimb_block,1024,16,128,2,0.140000,true
optimized,hillclimb_block,1024,16,128,3,0.166000,true
