mode,search,N,threads,block_size,avg_time_sec,best_time_sec,num_trials
optimized,hillclimb_block,256,8,16,0.009333,0.006000,3
optimized,hillclimb_block,256,8,32,0.007000,0.006000,3
optimized,hillclimb_block,256,8,64,0.008333,0.007000,3
optimized,hillclimb_block,512,16,16,0.037333,0.033000,3
optimized,hillclimb_block,512,16,32,0.030667,0.028000,3
optimized,hillclimb_block,512,16,64,0.033000,0.031000,3
optimized,hillclimb_block,1024,16,16,0.195667,0.180000,3
optimized,hillclimb_block,1024,16,32,0.181333,0.171000,3
optimized,hillclimb_block,1024,16,64,0.159667,0.159000,3
optimized,hillclimb_block,1024,16,128,0.153333,0.140000,3
optimized,linear_threads,256,1,32,0.026667,0.025000,3
optimized,linear_threads,256,2,32,0.020333,0.018000,3
optimized,linear_threads,256,4,32,0.011333,0.011000,3
optimized,linear_threads,256,8,32,0.008333,0.007000,3
optimized,linear_threads,256,16,32,0.009333,0.007000,3
optimized,linear_threads,512,1,32,0.205000,0.199000,3
optimized,linear_threads,512,2,32,0.103333,0.098000,3
optimized,linear_threads,512,4,32,0.057000,0.054000,3
optimized,linear_threads,512,8,32,0.041667,0.040000,3
optimized,linear_threads,512,16,32,0.034667,0.030000,3
optimized,linear_threads,1024,1,32,1.723333,1.684000,3
optimized,linear_threads,1024,2,32,0.798333,0.779000,3
optimized,linear_threads,1024,4,32,0.385000,0.379000,3
optimized,linear_threads,1024,8,32,0.213333,0.207000,3
optimized,linear_threads,1024,16,32,0.170333,0.166000,3
static,binary_threads,256,2,0,0.012667,0.011000,3
static,binary_threads,256,4,0,0.012333,0.011000,3
static,binary_threads,256,8,0,0.010000,0.006000,3
static,binary_threads,256,16,0,0.006000,0.005000,3
static,binary_threads,512,2,0,0.087333,0.086000,3
static,binary_threads,512,4,0,0.053000,0.047000,3
static,binary_threads,512,8,0,0.034333,0.025000,3
static,binary_threads,512,16,0,0.025667,0.024000,3
static,binary_threads,1024,2,0,0.651667,0.640000,3
static,binary_threads,1024,4,0,0.297333,0.280000,3
static,binary_threads,1024,8,0,0.196333,0.190000,3
static,binary_threads,1024,16,0,0.159333,0.152000,3
static,linear_threads,256,1,0,0.026000,0.021000,3
static,linear_threads,256,2,0,0.016667,0.015000,3
static,linear_threads,256,4,0,0.010000,0.009000,3
static,linear_threads,256,8,0,0.008667,0.008000,3
static,linear_threads,256,16,0,0.008333,0.007000,3
static,linear_threads,512,1,0,0.164000,0.164000,3
static,linear_threads,512,2,0,0.083667,0.080000,3
static,linear_threads,512,4,0,0.043667,0.041000,3
static,linear_threads,512,8,0,0.035667,0.031000,3
static,linear_threads,512,16,0,0.027333,0.022000,3
static,linear_threads,1024,1,0,1.294000,1.268000,3
static,linear_threads,1024,2,0,0.634333,0.584000,3
static,linear_threads,1024,4,0,0.292667,0.280000,3
static,linear_threads,1024,8,0,0.194333,0.189000,3
static,linear_threads,1024,16,0,0.156000,0.148000,3
