mode,N,threads,avg_time_sec,best_time_sec,speedup_from_avg,efficiency_from_avg,num_trials
dynamic,256,4,0.005,0.005,3.133,0.783,3
optimized,256,1,0.019,0.018,0.825,0.825,3
optimized,256,2,0.010,0.010,1.516,0.758,3
optimized,256,4,0.006,0.005,2.765,0.691,3
optimized,256,8,0.005,0.004,3.133,0.392,3
sequential,256,1,0.016,0.015,1.000,1.000,3
static,256,1,0.016,0.015,1.000,1.000,3
static,256,2,0.009,0.009,1.679,0.839,3
static,256,4,0.005,0.005,2.938,0.734,3
static,256,8,0.004,0.004,3.917,0.490,3
dynamic,512,8,0.024,0.023,5.000,0.625,3
optimized,512,1,0.152,0.147,0.780,0.780,3
optimized,512,2,0.081,0.076,1.467,0.733,3
optimized,512,4,0.039,0.039,3.034,0.759,3
optimized,512,8,0.027,0.026,4.438,0.555,3
sequential,512,1,0.118,0.118,1.000,1.000,3
static,512,1,0.122,0.121,0.970,0.970,3
static,512,2,0.060,0.059,1.983,0.992,3
static,512,4,0.032,0.031,3.737,0.934,3
static,512,8,0.024,0.023,5.000,0.625,3
dynamic,1024,8,0.174,0.167,5.701,0.713,3
optimized,1024,1,1.240,1.211,0.799,0.799,3
optimized,1024,2,0.638,0.614,1.553,0.776,3
optimized,1024,4,0.334,0.328,2.964,0.741,3
optimized,1024,8,0.183,0.181,5.420,0.677,3
sequential,1024,1,0.990,0.965,1.000,1.000,3
static,1024,1,1.027,0.997,0.964,0.964,3
static,1024,2,0.531,0.501,1.863,0.932,3
static,1024,4,0.287,0.268,3.449,0.862,3
static,1024,8,0.177,0.169,5.604,0.700,3
dynamic,1536,8,0.652,0.643,8.928,1.116,3
optimized,1536,1,5.463,5.407,1.066,1.066,3
optimized,1536,2,2.556,2.446,2.279,1.139,3
optimized,1536,4,1.245,1.155,4.678,1.170,3
optimized,1536,8,0.691,0.681,8.425,1.053,3
sequential,1536,1,5.824,5.417,1.000,1.000,3
static,1536,1,5.373,5.005,1.084,1.084,3
static,1536,2,2.496,2.445,2.333,1.167,3
static,1536,4,1.209,1.199,4.816,1.204,3
static,1536,8,0.663,0.648,8.780,1.098,3
dynamic,2048,8,1.614,1.602,8.754,1.094,3
optimized,2048,1,11.777,11.446,1.199,1.199,3
optimized,2048,2,5.637,5.607,2.506,1.253,3
optimized,2048,4,3.100,3.072,4.557,1.139,3
optimized,2048,8,1.715,1.670,8.238,1.030,3
sequential,2048,1,14.125,13.910,1.000,1.000,3
static,2048,1,14.042,13.811,1.006,1.006,3
static,2048,2,6.356,6.157,2.222,1.111,3
static,2048,4,2.986,2.968,4.730,1.182,3
static,2048,8,1.671,1.600,8.453,1.057,3
